origin,year,citation_num,works_cited_num,lat,long
"情报理论与实践,",2013,15,14,39.092003,117.100591
"情报理论与实践,",2012,6,6,39.999567,116.331994
"情报理论与实践,",2013,43,42,32.116192,118.956380
"情报理论与实践,",2012,1,0,,
"情报理论与实践,",2013,3,1,32.108524,118.917461
"情报理论与实践,",2012,14,14,31.763541,117.187073
"情报理论与实践,",2013,20,18,30.536482,114.374888
"情报理论与实践,",2013,1,0,34.862647,113.654690
"情报理论与实践,",2013,6,4,39.904694,119.537987
"情报理论与实践,",2013,5,5,35.295010,113.941250
"情报理论与实践,",2013,2,2,31.767250,117.184869
"情报理论与实践,",2012,25,25,,
"情报理论与实践,",2013,7,7,32.080199,118.756487
"情报理论与实践,",2013,6,6,32.054482,118.793579
"情报理论与实践,",2013,1,1,45.708225,126.613250
"情报理论与实践,",2013,27,24,43.854536,125.335170
"情报理论与实践,",2013,5,4,30.933505,117.827951
"情报理论与实践,",2013,12,12,37.997395,114.518196
"情报理论与实践,",2013,13,13,45.773729,126.682452
"情报理论与实践,",2013,3,2,28.650705,121.401311
"情报理论与实践,",2013,17,17,34.123128,108.830240
"情报理论与实践,",2013,6,6,23.062890,113.398184
"情报理论与实践,",2013,1,1,23.050447,113.378227
"情报理论与实践,",2013,32,32,31.249664,121.611071
"情报理论与实践,",2013,8,8,30.538526,114.347934
"情报理论与实践,",2013,6,6,37.765930,112.584885
"情报理论与实践,",2013,11,9,30.940791,121.456438
"情报理论与实践,",2013,3,2,32.026884,118.857244
"情报理论与实践,",2013,3,2,30.536660,114.375096
"情报理论与实践,",2013,23,18,31.057045,121.204500
"情报理论与实践,",2013,17,17,34.780709,113.849865
"情报理论与实践,",2013,2,2,34.123128,108.830240
"情报理论与实践,",2012,3,1,32.055465,118.777788
"情报理论与实践,",2013,10,10,30.536748,114.375043
"情报理论与实践,",2013,25,25,32.057538,118.777514
"情报理论与实践,",2013,11,11,31.877741,117.251656
"情报理论与实践,",2013,1,1,31.316600,121.392325
"情报理论与实践,",2013,16,14,39.995304,116.308264
"情报理论与实践,",2013,5,5,32.043094,118.775297
"情报理论与实践,",2013,3,3,39.060551,117.124698
"情报理论与实践,",2013,11,11,39.904694,119.537987
